combo_index	dataset	geom_idx0	wv_idx1	band_idx1	eig_real	eig_imag	K_sing	M_sing	T_sing	Kr_sing	Mr_sing	smin_Kr	smin_Mr
1	c_train_01	523	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
2	c_train_04	251	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
3	c_train_06	998	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
4	c_train_11	546	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
5	c_train_12	620	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
6	c_train_14	359	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
7	c_train_14	374	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
8	c_train_16	153	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
9	c_train_16	579	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
10	c_train_20	948	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
11	c_train_21	561	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
12	c_train_23	228	1	1	0	1.213e-05	1	0	0	1	0	0.000000e+00	8.680556e-02
