epoch,train_loss,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0
1,0.05871989125284987,0.06631409301608801,0.0018000000000000002,11254.498673915863,29.94032907485962,1663.334862119328,4627.293929067791,0.06631409301608801
2,0.045614348665539484,0.06311274975383033,0.0016200000000000001,11229.59140586853,19.808429956436157,1667.0241439253987,4690.916418551416,0.06311274975383033
3,0.03830400311946222,0.062179173048585654,0.001458,11230.299347877502,19.568840503692627,1666.9190571075944,4692.767771151779,0.062179173048585654
4,0.033580119720317374,0.06100819943007082,0.0013122000000000001,11379.500602960587,20.94799828529358,1645.0634041997982,4607.512418184018,0.06100819943007082
5,0.030016984327644523,0.06326058441555749,0.00118098,11518.137881994247,22.667149305343628,1625.2627110206831,4677.737441796107,0.06326058441555749
6,0.026909152146474095,0.059031437573954466,0.001062882,11417.127502202988,23.93775510787964,1639.6418447974668,4420.563904256568,0.059031437573954466
7,0.024276407115727327,0.06108496151352301,0.0009565938,13433.821743011475,22.625865936279297,1393.4977222500734,4272.3565974004105,0.06108496151352301
8,0.021910161735619316,0.06001346563920379,0.00086093442,12317.56424999237,20.410974979400635,1519.780990792201,4270.7908248409685,0.06001346563920379
9,0.01989990559589286,0.059290316785375274,0.000774840978,12322.43623304367,20.80831289291382,1519.1801074044686,4266.606287579885,0.059290316785375274
10,0.01808093297222836,0.05938594321378817,0.0006973568802,12331.191285133362,20.574092388153076,1518.1015010746826,4217.327607948601,0.05938594321378817
11,0.016540913397265183,0.05768691069663813,0.0006276211921800001,12274.407895088196,21.08312726020813,1525.124483396964,4523.099184510447,0.05768691069663813
12,0.015065644253734111,0.056817768205810956,0.0005648590729620001,11340.131746053696,21.909010410308838,1650.7744723966243,3812.143531476227,0.056817768205810956
