epoch,train_loss,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3
1,0.00010459068560895604,7.644204523239751e-05,0.0018000000000000002,11480.838938951492,30.836241483688354,1630.5428635957885,4499.708343116572,6.683180554318824e-05,6.405959714417501e-05,9.211249607324135e-05,8.276428208894989e-05
2,6.756654164281725e-05,6.9596295778562e-05,0.0016200000000000001,11439.242033720016,15.748100519180298,1636.4720621189879,4629.568924087608,6.0536045566550456e-05,5.732569822915442e-05,8.471679096207178e-05,7.580664872633254e-05
3,5.891076093222283e-05,6.652217885251351e-05,0.001458,11377.696838617325,16.170636892318726,1645.3242044964654,4631.715766899821,5.677562799913479e-05,5.444601934747576e-05,8.192714264563013e-05,7.293992587195438e-05
4,5.3313313230420235e-05,6.557936418782144e-05,0.0013122000000000001,11378.381720781326,15.853244304656982,1645.2251699211356,4624.75080782094,5.578982869277146e-05,5.3246264911649635e-05,8.08993895407184e-05,7.238197299860379e-05
5,4.910826286100524e-05,6.498511144673102e-05,0.00118098,11281.595530033112,15.53647756576538,1659.3397582961438,4661.941392643657,5.508150789076656e-05,5.357906795567639e-05,7.996029088462819e-05,7.131957927776966e-05
6,4.568799916296484e-05,6.474837760591375e-05,0.001062882,11275.08565068245,15.95221471786499,1660.2978088123818,4671.059996381523,5.5095422441202875e-05,5.246054354999312e-05,8.043053073561168e-05,7.100701464757245e-05
7,4.2838935534240996e-05,6.380422272923169e-05,0.0009565938,11275.688575029373,15.45772647857666,1660.2090307332946,4667.822571427182,5.476585287457662e-05,5.1429753789610305e-05,7.887460524458826e-05,7.014667926220379e-05
8,4.040547377462644e-05,6.43763443234396e-05,0.00086093442,11282.356765270233,15.958104848861694,1659.2278004915245,4702.566794094682,5.452777456108985e-05,5.267352525819054e-05,7.961056872833676e-05,7.069350863215126e-05
9,3.822717429168026e-05,6.406471859736484e-05,0.000774840978,12054.34165430069,20.34528422355652,1552.9674317237532,4238.9944797088765,5.425258138651164e-05,5.1779252874742576e-05,7.946809876375483e-05,7.075894090060804e-05
10,3.6270509869508617e-05,6.427024434742635e-05,0.0006973568802,11859.213541984558,17.878304481506348,1578.5195142769421,4417.136472876238,5.4220968731897304e-05,5.192278533559147e-05,7.994553349150616e-05,7.099168894274043e-05
11,3.447036803789969e-05,6.394952396779747e-05,0.0006276211921800001,11467.899849891663,17.076109647750854,1632.3825848703107,4668.524461040676,5.356613328694948e-05,5.0990804473258325e-05,8.049672254128381e-05,7.074443600868108e-05
12,3.278105337504813e-05,6.462081405697973e-05,0.0005648590729620001,11277.331991195679,17.167840719223022,1659.9670928030569,4673.483401153181,5.419062439189778e-05,5.1564837234764125e-05,8.130150044962647e-05,7.142629432079654e-05
