epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4,train_compare_loss,val_compare_loss,train_compare_loss_ch0,train_compare_loss_ch1,train_compare_loss_ch2,train_compare_loss_ch3,train_compare_loss_ch4,val_compare_loss_ch0,val_compare_loss_ch1,val_compare_loss_ch2,val_compare_loss_ch3,val_compare_loss_ch4
1,0.0035481849160116526,1.750854172375011e-05,9.634986363855407e-05,9.188071623056102e-05,0.00012269222185073481,0.0001104505477078419,0.0075963225146807156,0.0018000000000000002,25052.583512544632,19.627765417099,747.2283244012058,4581.624355316734,0.001701257748172308,0.0090098666386678808,0.0087723464693563683,0.0096640326027758426,0.0088341091700208686,0.0035481849160116526,0.00021050906901634657,1.750854172375011e-05,9.634986363855407e-05,9.188071623056102e-05,0.00012269222185073481,0.0001104505477078419,2.942822422661493e-05,0.0002492527376394719,0.00023898048241583942,0.00029053416959941389,0.0002443497309325418
2,0.002461584444652544,1.2339685654581384e-05,6.016010662288964e-05,5.78700153999105e-05,8.706597855891434e-05,7.690345305491064e-05,0.0076402323340391499,0.0016200000000000001,25224.592344284058,114.75373458862305,742.1329052416575,4632.687326100429,0.0020916819199686869,0.008969830899282048,0.0086414486822051304,0.0096968052486578627,0.0088013949924459055,0.002461584444652544,0.00021119073848540967,1.2339685654581384e-05,6.016010662288964e-05,5.78700153999105e-05,8.706597855891434e-05,7.690345305491064e-05,3.1358420879420617e-05,0.00024797508140521433,0.00023605846227922787,0.00029542669861887895,0.00024513503033473776
3,0.002232758327283793,1.2060941548812407e-05,5.2334636148013184e-05,5.0257281283645874e-05,7.827789741673364e-05,6.8781431949598e-05,0.007526533172460703,0.001458,25939.46579360962,66.98298263549805,721.6802438781068,4505.736317816505,0.0015270594229262011,0.0089427801516838365,0.0087281411500337216,0.0096467111156322057,0.008787974101832758,0.002232758327283793,0.00020968145413123644,1.2060941548812407e-05,5.2334636148013184e-05,5.0257281283645874e-05,7.827789741673364e-05,6.8781431949598e-05,2.9640547634566398e-05,0.0002469083551453271,0.00023710739892752219,0.00029116907124213565,0.00024358189750346354
4,0.0020862568455502495,1.1706314559870813e-05,4.7554274251928695e-05,4.555463991199657e-05,7.269750919678902e-05,6.373277265568807e-05,0.0075865393363512479,0.0013122000000000001,12165.719659805298,18.376606702804565,1538.7499074016634,4300.074769390944,0.0016451595821805919,0.0089878826907525463,0.0086845207386339711,0.0097171957718518876,0.0088979379769725097,0.0020862568455502495,0.00021285129614671071,1.1706314559870813e-05,4.7554274251928695e-05,4.555463991199657e-05,7.269750919678902e-05,6.373277265568807e-05,2.9026215857182554e-05,0.00024900088238258224,0.00023916826899706697,0.0002976183096082726,0.00024944280456596366
5,0.001979658292742291,1.0932999525468408e-05,4.411673918947498e-05,4.211246544067156e-05,6.86422155781151e-05,6.00324662721808e-05,0.0075307816772216402,0.00118098,12766.12217617035,15.535998821258545,1466.3810781118286,4342.631638895087,0.0015228690603592743,0.0089450360607045386,0.0086349873436925313,0.0097045480059149373,0.0088464679532684384,0.001979658292742291,0.00021081034987706406,1.0932999525468408e-05,4.411673918947498e-05,4.211246544067156e-05,6.86422155781151e-05,6.00324662721808e-05,2.9929054816015348e-05,0.00024621290871873496,0.00023563334095912675,0.00029534191626007667,0.00024693453100432333
6,0.0018883156285866992,6.222749346479706e-06,4.144520492246152e-05,3.93673633690115e-05,6.546372938318099e-05,5.7064154641668416e-05,0.0076628890828597243,0.001062882,12276.315805912018,15.369080543518066,1524.8874577652066,4215.097703833696,0.0019861050209263342,0.009016060128776978,0.0086602684017270809,0.0097504158730308214,0.0089015960199137524,0.0018883156285866992,0.00022006442163082269,6.222749346479706e-06,4.144520492246152e-05,3.93673633690115e-05,6.546372938318099e-05,5.7064154641668416e-05,6.537002801880286e-05,0.00024815722697918923,0.00023706884901621378,0.00029982430470796922,0.0002499016991525423
7,0.001810392306881517,5.468748922133177e-06,3.9233716602413756e-05,3.7098695805399175e-05,6.277811791207771e-05,5.458255406519028e-05,0.0076073971751530961,0.0009565938,12240.573996543884,18.667904376983643,1529.3400460865296,4270.223420780138,0.0017778723132330925,0.0089907657182465,0.0086798087989290555,0.009692576647208382,0.0088959624142696467,0.001810392306881517,0.00021828825927544863,5.468748922133177e-06,3.9233716602413756e-05,3.7098695805399175e-05,6.277811791207771e-05,5.458255406519028e-05,6.0216772437930405e-05,0.00024870038761097628,0.00023816475520725363,0.0002960760954709258,0.00024828328693790049
8,0.0017470948084923697,5.449809782420169e-06,3.738341987930956e-05,3.5174407202122084e-05,6.0475132692166275e-05,5.243947625871846e-05,0.0076274333907151836,0.00086093442,12266.290257453918,39.761513233184814,1526.1337867514037,4312.335224613342,0.0017098372259604123,0.0090062767341112099,0.0087075913656502954,0.0098101575176542007,0.0089033041822103171,0.0017470948084923697,0.00022302972242618218,5.449809782420169e-06,3.738341987930956e-05,3.5174407202122084e-05,6.0475132692166275e-05,5.243947625871846e-05,7.107133164730044e-05,0.00024998016561536741,0.0002399712662367771,0.00030348675373631219,0.0002506390966901866
9,0.0016899587995075206,5.388172857137343e-06,3.577714139851196e-05,3.35363034216698e-05,5.8397796201057244e-05,5.0570825048251004e-05,0.0076357462235719731,0.000774840978,12242.282323598862,15.412664413452148,1529.1266371070656,4311.033369705486,0.0016811931297726309,0.0090509687833487985,0.0087335349009682733,0.0097920783266114697,0.008920956021298965,0.0016899587995075206,0.00022329446534010081,5.388172857137343e-06,3.577714139851196e-05,3.35363034216698e-05,5.8397796201057244e-05,5.0570825048251004e-05,6.6284726984648998e-05,0.00025289617275120691,0.00024194134661229328,0.00030343080308715194,0.00025191928035928865
10,0.0016414183688725139,5.367186649155907e-06,3.43969204793666e-05,3.211998892839398e-05,5.653434403337896e-05,4.891862261375637e-05,0.0076498027278459986,0.0006973568802,12286.397332191467,56.365644216537476,1523.6362209247388,4308.935460802262,0.0016489267293247395,0.0090623063810480135,0.0087546215476157763,0.0098321305220015354,0.0089510284950025387,0.0016414183688725139,0.00022407226724349536,5.367186649155907e-06,3.43969204793666e-05,3.211998892839398e-05,5.653434403337896e-05,4.891862261375637e-05,7.0006924898696822e-05,0.00025237790847313588,0.00024212204697153842,0.00030369696167957349,0.00025215749552783868
11,0.00011311062683626006,1.7368353903991718e-05,0.0001245303361415861,0.0001229110815476007,0.00015559113477103085,0.00014515222796767881,0.00019977131660015154,0.0018000000000000002,12336.544197797775,17.364806652069092,1517.442786233583,4282.837611117176,4.1953605978324048e-05,0.00023063215241224194,0.00022990677681712743,0.00026170578689586058,0.0002346582622694162,0.00011311062683626006,0.0076576772593962839,1.7368353903991718e-05,0.0001245303361415861,0.0001229110815476007,0.00015559113477103085,0.00014515222796767881,0.0022762311456259341,0.0088974320663139216,0.0088589244931004934,0.0093730830466374759,0.0088827155862314013
12,0.0001017459584040302,1.0457317739732415e-05,0.00011038885633327785,0.0001114316499475131,0.000142359470097492,0.00013409249818020422,0.00020844010595327768,0.0016200000000000001,12164.3293364048,13.847644329071045,1538.9257789967685,4329.3486967429635,3.6535952648167344e-05,0.00023961219332413748,0.00024000695986518014,0.00027866186160050956,0.00024738356306722078,0.0001017459584040302,0.0079372523731329504,1.0457317739732415e-05,0.00011038885633327785,0.0001114316499475131,0.000142359470097492,0.00013409249818020422,0.0025262585976471505,0.0091848355217526365,0.009132909203320742,0.0096137067073024801,0.0092285519020631913
