epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4,train_compare_loss,val_compare_loss,train_compare_loss_ch0,train_compare_loss_ch1,train_compare_loss_ch2,train_compare_loss_ch3,train_compare_loss_ch4,val_compare_loss_ch0,val_compare_loss_ch1,val_compare_loss_ch2,val_compare_loss_ch3,val_compare_loss_ch4
1,0.005705587845444421,0.002524457528221117,0.006173014350701124,0.0061588034412965904,0.007037781507863353,0.0066338823799677715,0.0035562630961736043,0.0032,14846.319982290268,1164.956746339798,1260.9185321568261,4249.987565934356,0.00092486611780089642,0.0039741962102707471,0.0038978598490978281,0.0045975432722829279,0.0043868500608329969,0.0005557448411816747,8.2417845685799147e-05,0.0005450988478189224,0.0004026557335346297,0.0009753473989251992,0.00038993519932713146,0.00046568704952632185,3.314075741510199e-06,9.1387166960521429e-05,8.9472243647711978e-05,0.00011955728603776758,0.00010835845640212938
2,0.003212582570377789,0.0009830638395271509,0.003542973201075155,0.0034432927891612053,0.004150031742006023,0.003943551278297997,0.0030629317615704661,0.00256,14664.045983314514,2485.218977689743,1276.5917415494027,4282.508662209213,0.00097637150296553345,0.0033359847136773171,0.0032384630618927379,0.0039370605243680377,0.0038267790251566717,7.400569591380998e-05,6.8623454728760787e-05,1.332716067190276e-05,7.84907356549714e-05,7.67234321863523e-05,0.00010569930995805206,9.578784130149467e-05,3.4152384888841425e-06,7.4669912759145514e-05,7.2381010896697265e-05,0.00010072525355432541,9.1925858220080653e-05
3,0.00278648932346712,0.0007754705618030534,0.003067859648490816,0.002967884395145423,0.0036636761480864756,0.0034575558616909093,0.0027690002355025365,0.0020480000000000003,14799.150449991226,2620.3814532756805,1264.937474840733,4280.193008829815,0.00072269404614926319,0.0030673536457354201,0.0029547727773509298,0.00366031296531825,0.0034398677665119369,6.348579698664657e-05,6.351213840060891e-05,1.2506950324208985e-05,6.614747609000915e-05,6.40724880802534e-05,9.183126211185785e-05,8.287080853349632e-05,2.7841664226078439e-06,6.8762847715788669e-05,6.6337315121806265e-05,9.4714485563781635e-05,8.4961877910003146e-05
4,0.002561440258801061,0.0006630670168880088,0.0028177738127706108,0.002715541752957506,0.0034068196049257594,0.0032039991166546112,0.0027543080758926195,0.0016384000000000004,14559.0474858284,2132.7333374023438,1285.7984025549626,3969.407459699558,0.0007095343352411874,0.0029632707593264056,0.003069774179176117,0.0035689680765848605,0.0034599930330334854,6.309610279236545e-05,6.1385118845086071e-05,1.4319218998797388e-05,6.341639221323527e-05,5.908689320045192e-05,9.544122673792623e-05,8.321678158901906e-05,2.8615599225294849e-06,6.6160922064682382e-05,6.4229758177498293e-05,9.128837950872063e-05,8.2384974899893374e-05
5,0.00240865894346886,0.0005757986729052694,0.002654676857646943,0.0025466598765665873,0.0032338440835980387,0.003032315227785148,0.0025794619291806833,0.0013107200000000005,12603.520899772644,22.608075618743896,1485.2992389085252,4316.381626170173,0.00054157074959754637,0.0028728029690993327,0.0027608040157239885,0.0034423567968575905,0.0032797751421419284,5.49262890118977e-05,5.9690798928913395e-05,1.201567432803764e-05,5.5609749073684925e-05,5.382094103914723e-05,8.107333847753277e-05,7.211174237333277e-05,2.427529394430176e-06,6.41916574060815e-05,6.1906647036175859e-05,8.9275652145746179e-05,8.0652508560706337e-05
6,0.0022874434613881427,0.0005035713999855539,0.0025207717786478396,0.0024155291530284255,0.003098545259728174,0.002898799715747979,0.002552403148522744,0.0010485760000000005,12597.945496797562,46.279231548309326,1485.956579567572,4209.964398285229,0.00062479387641651554,0.0028297941832259917,0.0027118998711463064,0.0033965005663456394,0.0031990272753018266,5.177404718890304e-05,5.886730947689368e-05,1.1226173082537371e-05,5.2251012642197265e-05,4.992941290877045e-05,7.717762583474218e-05,6.828601157510801e-05,2.8212185353363375e-06,6.3287926133580191e-05,6.0317794855185034e-05,8.8718345801316902e-05,7.9191262276617641e-05
7,0.0021963863102460487,0.00045018454296021245,0.0024226777401507005,0.002316283411019766,0.0029947678233212273,0.0027980180332734662,0.0025066528224639405,0.0008388608000000005,13220.674203395844,13.876286268234253,1415.9640962328235,3966.8801663346926,0.0005741762879032952,0.0028081779782427475,0.0026550389197655022,0.0033438932482153178,0.0031519776966733239,5.700785999877351e-05,5.8128603966094744e-05,9.702987144324381e-06,5.057354463077799e-05,4.787324428687296e-05,8.614348926110122e-05,9.074603585309483e-05,2.4362120650351926e-06,6.205326333057807e-05,5.9739747065092769e-05,8.786822539959758e-05,7.854557214820185e-05
8,0.0021254859422495226,0.000416935057005402,0.0023455621593004455,0.002237906370897286,0.0029111197919313176,0.002715906334555863,0.0024630265260476331,0.0006710886400000004,12568.36260843277,46.79655146598816,1489.4541622661154,4325.692146226013,0.00053972552995837754,0.0027307977183799572,0.0026187680214100205,0.003320101402886212,0.0031057399758758642,0.00010948871553657429,6.7047425026647175e-05,1.3393093592731652e-05,0.00024406160229101362,0.00011018460214998211,0.0001109528105747207,6.88514855707783e-05,2.5999720308486e-06,7.1325002489038529e-05,7.0454921021003726e-05,0.00010240966558267246,8.8447564398362981e-05
9,0.0020648558691997703,0.0003816003365613546,0.002282344677359409,0.0021717898688544263,0.0028423397169131527,0.0026462047495426507,0.0024702111203487101,0.0005368709120000003,12210.762603521347,21.666313886642456,1533.0737815344567,4327.771284602681,0.00074433050042377238,0.0026857241996757998,0.0025759923478355629,0.0032852888140827417,0.0030597197560593486,0.008822752732081078,6.8000443237475476e-05,1.1336066205145576e-05,0.013474368213273425,0.01000454717442287,0.012756894995919133,0.0078666183964577,5.5646653727492294e-05,6.1226714100606229e-05,5.8822772267255157e-05,8.6872090346878393e-05,7.743398517201664e-05
10,0.00198793460151905,0.00034297864914575865,0.0021946618346943675,0.002086437201631876,0.0027542209304196553,0.0025613743932464987,0.00244861450893451,0.0004294967296000003,12234.926789045334,38.0088369846344,1530.0459351143109,4325.970594259213,0.00073958642347424761,0.0026538695622778806,0.0025412769375097316,0.003272536137707842,0.0030358035045287882,4.4515427997440484e-05,6.7114044525779976e-05,5.544225294697706e-06,4.5037772029723377e-05,4.248983655677168e-05,6.898112440881555e-05,6.052418179984266e-05,5.143339771745815e-05,6.1083997211744642e-05,5.8666137937590675e-05,8.6907756568355883e-05,7.7478933550931592e-05
11,0.008598968811391387,0.007864298306720027,0.008975244564288814,0.008432631178594116,0.009097205664251103,0.008625464360611254,0.008850408904148982,0.0032,13928.145430088043,1235.2350153923035,1344.0411068339674,3809.419722744782,0.0085659304286857755,0.009192546714749188,0.0085531852152819429,0.0091533297855096556,0.0087870524129519852,0.007108930390347571,0.00022158250777843671,0.012253336707719704,0.011509852712592772,0.005252582433929749,0.00259351532485501,0.003935365106106878,0.00013210794041958139,0.00025945295138711419,0.00022835201226795713,0.00025638328327137668,0.00023161635258002206
12,0.0090281063498955,0.009154855307773687,0.009300130871460876,0.008653867818777345,0.009265859449075329,0.008765818338556629,0.0094985117643307422,0.00256,12871.0034365654,15.244548559188843,1454.4320566971578,4081.803029940792,0.010746677088714204,0.009209642682007203,0.0085943626166942212,0.010270676929006973,0.0086711994819653523,0.00022790284239009552,0.00024163097219283763,0.00016207023234392182,0.00025946562778295226,0.00022866686994449183,0.0002565471101430982,0.00023276437188138113,0.00022006453678535156,0.0002587847906863317,0.00022762101063077958,0.00026930218557051074,0.00023238233936717734
