epoch,train_loss,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4
1,8.939593341054003e-05,6.657214571532677e-05,0.0018000000000000002,11385.1858856678,23.080028772354126,1644.2419287651335,4575.601234309086,2.497667186257028e-05,6.707493817763558e-05,6.36315662850393e-05,9.332667989171265e-05,8.385087089724644e-05
2,5.516203150692592e-05,6.001414002942814e-05,0.0016200000000000001,12138.946812868118,17.449520349502563,1542.1436709942177,4638.604100450178,2.0123818704140225e-05,6.0306825456185225e-05,5.7361490127732395e-05,8.573852567982007e-05,7.654003964853474e-05
3,4.752866407691019e-05,5.87561134355686e-05,0.001458,12416.1796708107,19.30491590499878,1507.7101408260871,3858.297380984286,2.520995315128971e-05,5.7248469928405635e-05,5.4614861831699575e-05,8.278842453000834e-05,7.391885720426217e-05
4,4.2589359489082e-05,5.4824398993029414e-05,0.0013122000000000001,12298.515337467194,22.57642412185669,1522.13494770136,4658.378504920982,1.5706055556099348e-05,5.4842703902371186e-05,5.227532057566956e-05,7.997241628496947e-05,7.132549808132656e-05
5,3.9033229330824625e-05,5.491906726213832e-05,0.00118098,11311.240835428238,14.977778196334839,1654.9908425047931,4618.701773491785,1.7315722413305442e-05,5.385875025785936e-05,5.2411524337609684e-05,8.009252675158981e-05,7.091681238913831e-05
6,3.6294375741969516e-05,5.4805503191043196e-05,0.001062882,11398.960294485092,15.188611507415771,1642.2550404932006,4618.647079626864,1.910146496811175e-05,5.439973968896084e-05,5.133440146285769e-05,7.898667498132758e-05,7.020523409543482e-05
7,3.402444467731887e-05,5.478394584254905e-05,0.0009565938,11380.007561206818,15.99092173576355,1644.990119673945,4219.617463524621,2.2282788157876137e-05,5.287260276236338e-05,5.0607826128725716e-05,7.844804399792338e-05,6.970846915282891e-05
8,3.207417988157128e-05,5.731292139777603e-05,0.00086093442,12456.797857284546,21.57025146484375,1502.793913369384,3257.4369484451645,3.135195608264496e-05,5.438074785039741e-05,5.156911765819435e-05,7.905226530904959e-05,7.021051824631286e-05
9,3.03581452306187e-05,5.579725972711458e-05,0.000774840978,13125.652036428452,32.56045365333557,1426.2148614061382,4243.798887792309,2.7796909276711782e-05,5.307672687983237e-05,5.0380246625839693e-05,7.86460843179763e-05,6.908633207300833e-05
10,2.8847949568039945e-05,5.491134783915186e-05,0.0006973568802,12586.192152738571,28.38949418067932,1487.3442080674736,3852.7110368825265,2.3043971659679602e-05,5.262792101893865e-05,5.022055076551624e-05,7.894186656388532e-05,6.972242946600697e-05
11,2.7480985450387783e-05,5.368376069600345e-05,0.0006276211921800001,13700.695129394531,29.323546886444092,1366.3540297190223,3845.6999973674783,1.57278030301408e-05,5.247570330902818e-05,5.025020787949567e-05,7.961333881151708e-05,7.035175006603822e-05
12,2.623711964881497e-05,5.242137479702554e-05,0.0005648590729620001,12669.380638837814,28.17812180519104,1477.578149528012,4223.776188962748,8.808705700971587e-06,5.3182174423758016e-05,5.0956449906758887e-05,7.916797110738116e-05,6.999157354948693e-05
13,0.00010438216017423151,9.228381017843882e-05,0.0018000000000000002,11342.565778493881,22.938719272613525,1650.4202281545622,4559.672853930401,2.5811806238114818e-05,9.686328534250303e-05,9.52229995248975e-05,0.00012800285145203816,0.00011551810852445972
14,7.276905649774158e-05,6.97323561629067e-05,0.0016200000000000001,11270.75596666336,15.392818689346313,1660.935615620639,4660.612348924379,2.456315883125626e-05,7.100939352312707e-05,6.856737973915491e-05,9.707101173262345e-05,8.7450835636749e-05
15,6.059526411293822e-05,6.760519339635114e-05,0.001458,11806.747604131699,19.793534517288208,1585.534020685684,4469.003974267822,3.4891299519604975e-05,6.609731166160297e-05,6.344694971085118e-05,9.153377901384374e-05,8.205662629795066e-05
16,5.513968084212845e-05,6.3683371724134e-05,0.0013122000000000001,11620.736687898636,17.236165523529053,1610.913361413158,4689.432654592225,3.0242720539509568e-05,6.272498830488379e-05,5.997564655141711e-05,8.717051136894345e-05,7.830299065850947e-05
