epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4,train_compare_loss,val_compare_loss,train_compare_loss_ch0,train_compare_loss_ch1,train_compare_loss_ch2,train_compare_loss_ch3,train_compare_loss_ch4,val_compare_loss_ch0,val_compare_loss_ch1,val_compare_loss_ch2,val_compare_loss_ch3,val_compare_loss_ch4,train_l1_loss,train_mse_loss,val_l1_loss,val_mse_loss,train_l1_loss_ch0,train_l1_loss_ch1,train_l1_loss_ch2,train_l1_loss_ch3,train_l1_loss_ch4,val_l1_loss_ch0,val_l1_loss_ch1,val_l1_loss_ch2,val_l1_loss_ch3,val_l1_loss_ch4,train_mse_loss_ch0,train_mse_loss_ch1,train_mse_loss_ch2,train_mse_loss_ch3,train_mse_loss_ch4,val_mse_loss_ch0,val_mse_loss_ch1,val_mse_loss_ch2,val_mse_loss_ch3,val_mse_loss_ch4
1,0.3448102084232701,0.024169061332941055,0.3876662850379944,0.4016643762588501,0.4546973705291748,0.4558529853820801,0.3092513078133265,0.0018000000000000002,12638.526879787445,15.948433876037598,1481.1852819602368,4184.719811326475,0.02159932069480419,0.340553343296051,0.3534017503261566,0.41471269726753235,0.4159912168979645,8.04486038741743e-05,6.144123482972645e-05,2.3853053789935075e-05,8.54895479278639e-05,8.078006794676185e-05,0.00011229758092667907,9.982332994695753e-05,4.493302185437642e-06,6.575066799996421e-05,6.26145993010141e-05,9.290209709433839e-05,8.144560706568882e-05,0.003334644400935051,8.04486038741743e-05,0.002740760376288866,6.144123482972645e-05,0.0015415434027090669,0.003572886111214757,0.003433971432968974,0.004172364715486765,0.0039524054154753685,2.3853053789935075e-05,8.54895479278639e-05,8.078006794676185e-05,0.00011229758092667907,9.982332994695753e-05,0.0013010939583182335,0.0028897891752421856,0.0027404683642089367,0.003490111092105508,0.003282347461208701,4.493302185437642e-06,6.575066799996421e-05,6.26145993010141e-05,9.290209709433839e-05,8.144560706568882e-05
2,0.2556458977419469,0.015601490624248981,0.28202614188194275,0.2900111675262451,0.347135990858078,0.3434544503688812,0.2816952775597572,0.0016200000000000001,12642.205233573914,13.00380539894104,1480.7543188972509,4187.508713792372,0.015840960666537285,0.30965656042099,0.32176604866981506,0.3778384029865265,0.3833737075328827,5.6231857864784415e-05,5.583078265960163e-05,1.347420402453281e-05,5.694841456715949e-05,5.434651029645465e-05,8.340258500538766e-05,7.298711716430262e-05,3.154655360049219e-06,5.9373116528149694e-05,5.65577793167904e-05,8.519193943357095e-05,7.487603579647839e-05,0.002444762753904797,5.6231857864784415e-05,0.002476404096799282,5.583078265960163e-05,0.0009916122071444988,0.0025972402654588223,0.002475631656125188,0.0031839392613619566,0.002975411480292678,1.347420402453281e-05,5.694841456715949e-05,5.434651029645465e-05,8.340258500538766e-05,7.298711716430262e-05,0.0010026225354522467,0.002638664562255144,0.0025023322086781263,0.003198534483090043,0.00303987436927855,3.154655360049219e-06,5.9373116528149694e-05,5.65577793167904e-05,8.519193943357095e-05,7.487603579647839e-05
3,0.23064383482933046,0.013781893067061901,0.25258761644363403,0.25844237208366394,0.3168106973171234,0.31159868836402893,0.2656237635011474,0.001458,12648.058457136154,12.995884895324707,1480.0690606737353,4187.191556972051,0.014646235853433609,0.28873616456985474,0.30148711800575256,0.3615128993988037,0.36173656582832336,4.975768472048811e-05,5.310808871202729e-05,1.2870777936768718e-05,4.9285925342701375e-05,4.677709148381837e-05,7.486346294172108e-05,6.499107257695869e-05,3.104697952949209e-06,5.582284939009696e-05,5.3271945944288746e-05,8.160752622643486e-05,7.173334597609937e-05,0.002202306220375855,4.975768472048811e-05,0.00231840460455666,5.310808871202729e-05,0.0008761926437728107,0.0023256666027009487,0.0022053646389395,0.0029054523911327124,0.002698876429349184,1.2870777936768718e-05,4.9285925342701375e-05,4.677709148381837e-05,7.486346294172108e-05,6.499107257695869e-05,0.0008780201314948499,0.002461867406964302,0.002344543347135186,0.0030551678501069546,0.002852423582226038,3.104697952949209e-06,5.582284939009696e-05,5.3271945944288746e-05,8.160752622643486e-05,7.173334597609937e-05
4,0.21525568219315674,0.012845423072576523,0.23453830182552338,0.23913739621639252,0.2979390621185303,0.2918168604373932,0.2660927564958731,0.0013122000000000001,12619.073303699493,13.361822366714478,1483.468678679592,4200.014769774804,0.010310494340956211,0.28692713379859924,0.29960229992866516,0.3738201856613159,0.35980224609375,4.577483007501036e-05,5.2407328941535524e-05,1.2624108421732672e-05,4.463740697246976e-05,4.21042313973885e-05,6.95085254847072e-05,5.999921995680779e-05,2.3190916635940084e-06,5.508268441190012e-05,5.2466417400864884e-05,8.116970275295898e-05,7.099893991835415e-05,0.0020552222663827707,4.577483007501036e-05,0.00228172743137305,5.2407328941535524e-05,0.0008166144834831357,0.0021594108548015356,0.0020402874797582626,0.0027323777321726084,0.0025273908395320177,1.2624108421732672e-05,4.463740697246976e-05,4.21042313973885e-05,6.95085254847072e-05,5.999921995680779e-05,0.0006414230447262526,0.002443431643769145,0.0023295218124985695,0.0031464528292417526,0.00284780515357852,2.3190916635940084e-06,5.508268441190012e-05,5.2466417400864884e-05,8.116970275295898e-05,7.099893991835415e-05
5,0.20365930501868326,0.011943035759031773,0.22096247971057892,0.22483308613300323,0.28363311290740967,0.2769254148006439,0.25491406079381707,0.00118098,12613.103974103928,13.406567811965942,1484.170751183388,4200.701017078905,0.010008839890360832,0.27742525935173035,0.28999194502830505,0.34875357151031494,0.3483903706073761,4.285431495206164e-05,5.131850391282266e-05,1.2456565855245572e-05,4.128673754166812e-05,3.8678048440488055e-05,6.55667026876472e-05,5.6283926824107766e-05,2.3367435915133683e-06,5.3753592510474846e-05,5.122931543155573e-05,7.943047967273742e-05,6.984230276430026e-05,0.0019421599312109822,4.285431495206164e-05,0.002188925469076882,5.131850391282266e-05,0.0007589290617033839,0.002034252742305398,0.0019179692026227713,0.002601237967610359,0.002398404758423567,1.2456565855245572e-05,4.128673754166812e-05,3.8678048440488055e-05,6.55667026876472e-05,5.6283926824107766e-05,0.0006168029503896832,0.0023670459631830454,0.002254044869914651,0.0029542159754782915,0.002752515021711588,2.3367435915133683e-06,5.3753592510474846e-05,5.122931543155573e-05,7.943047967273742e-05,6.984230276430026e-05
6,0.19427878749329183,0.01112061645835638,0.21011804044246674,0.21328827738761902,0.27184975147247314,0.26501816511154175,0.252092241636912,0.001062882,13464.633708953857,13.7241792678833,1390.3088939992012,3786.739479529838,0.01521135400980711,0.27194491028785706,0.2880106270313263,0.34133416414260864,0.3439619541168213,4.057273963427279e-05,5.076563355445008e-05,1.2280635928618722e-05,3.868955172947608e-05,3.6042802094016224e-05,6.246750854188576e-05,5.33831371285487e-05,3.117675078101456e-06,5.272105772746727e-05,5.0208251195726916e-05,7.86779637564905e-05,6.910319643793628e-05,0.0018497301561939013,4.057273963427279e-05,0.002218097113080633,5.076563355445008e-05,0.0007065589306876063,0.0019344084430485964,0.0018193204887211323,0.002493159379810095,0.0022951848804950714,1.2280635928618722e-05,3.868955172947608e-05,3.6042802094016224e-05,6.246750854188576e-05,5.33831371285487e-05,0.0009287510183639824,0.002319314982742071,0.0022352358791977167,0.0028915388975292444,0.002715654205530882,3.117675078101456e-06,5.272105772746727e-05,5.0208251195726916e-05,7.86779637564905e-05,6.910319643793628e-05
7,0.18652763096512193,0.010626319795846939,0.20134501159191132,0.20392803847789764,0.261797159910202,0.2549438178539276,0.25165232530832293,0.0009565938,12659.905910730362,46.22328209877014,1478.6839753787733,4195.478048592191,0.008393645286560059,0.28018131852149963,0.2823465168476105,0.34530436992645264,0.3420362174510956,3.868653115028388e-05,5.0166925987059586e-05,1.2204088307044003e-05,3.656395347206853e-05,3.392561120563187e-05,5.977836190140806e-05,5.0960730732185766e-05,2.311449406988686e-06,5.241136750555597e-05,4.980000085197389e-05,7.809417002135888e-05,6.821785063948482e-05,0.0017754138679366507,3.868653115028388e-05,0.002140767269480663,5.0166925987059586e-05,0.0006752116605639458,0.0018535625422373414,0.0017393154557794333,0.002401032019406557,0.0022079290356487036,1.2204088307044003e-05,3.656395347206853e-05,3.392561120563187e-05,5.977836190140806e-05,5.0960730732185766e-05,0.0005138544365763664,0.0023764679208397865,0.0021927491761744022,0.0029212760273367167,0.002699489938095212,2.311449406988686e-06,5.241136750555597e-05,4.980000085197389e-05,7.809417002135888e-05,6.821785063948482e-05
8,0.1797277138431867,0.010073428973555565,0.19372381269931793,0.19592136144638062,0.25285106897354126,0.24606846272945404,0.24872443144470452,0.00086093442,12651.188961744308,37.54131317138672,1479.702821340117,4194.4361118315655,0.013505330309271812,0.2705254554748535,0.28044643998146057,0.338952898979187,0.34019237756729126,3.7032523968062176e-05,5.081796811355162e-05,1.2106276699341834e-05,3.4766369935823604e-05,3.214230673620477e-05,5.732937643188052e-05,4.881823406321928e-05,2.7228102226217743e-06,5.2791849157074466e-05,5.0149548769695684e-05,7.920204370748252e-05,6.922368629602715e-05,0.0017088462911358671,3.7032523968062176e-05,0.002177114321376818,5.081796811355162e-05,0.000639944861177355,0.0017832943703979254,0.0016709108604118228,0.0023189762141555548,0.0021311123855412006,1.2106276699341834e-05,3.4766369935823604e-05,3.214230673620477e-05,5.732937643188052e-05,4.881823406321928e-05,0.0008470115135423839,0.002306499285623431,0.002178841968998313,0.0028705825097858906,0.0026826357934623957,2.7228102226217743e-06,5.2791849157074466e-05,5.0149548769695684e-05,7.920204370748252e-05,6.922368629602715e-05
9,0.17368391787612603,0.00949957687407732,0.18709871172904968,0.18901535868644714,0.2446080595254898,0.23819610476493835,0.2442918588216106,0.000774840978,13749.9855530262,37.86189913749695,1361.4559759213685,3836.0874229835995,0.008508426137268543,0.26604586839675903,0.2768585681915283,0.335705041885376,0.3343406319618225,3.5580015290684566e-05,4.988007264011382e-05,1.2008015801256988e-05,3.321802068967372e-05,3.062047471757978e-05,5.512889038072899e-05,4.69245424028486e-05,2.256059360661311e-06,5.199888983042911e-05,4.9286627472611144e-05,7.810963143128902e-05,6.774927896913141e-05,0.0016487223964779534,3.5580015290684566e-05,0.0020854180504917166,4.988007264011382e-05,0.000603082065936178,0.0017222705064341426,0.0016119324136525393,0.002243393799290061,0.002062933286651969,1.2008015801256988e-05,3.321802068967372e-05,3.062047471757978e-05,5.512889038072899e-05,4.69245424028486e-05,0.0005225829081609845,0.00227025942876935,0.0021504873875528574,0.00284585845656693,0.002637900412082672,2.256059360661311e-06,5.199888983042911e-05,4.9286627472611144e-05,7.810963143128902e-05,6.774927896913141e-05
10,0.16838486969015665,0.009146853350102901,0.18130172789096832,0.18302485346794128,0.2372104376554489,0.23124103248119354,0.2424000076452891,0.0006973568802,14038.48663687706,86.94559979438782,1333.4770680213696,3831.50846379988,0.00862871389836073,0.2635299265384674,0.27419230341911316,0.3333965837955475,0.33225247263908386,3.428183378724094e-05,4.9804737515463176e-05,1.1953075045312289e-05,3.184965316904709e-05,2.9304945201147348e-05,5.307184255798347e-05,4.522976450971328e-05,2.201699317083694e-06,5.165371476323344e-05,4.900888598058373e-05,7.833496783860028e-05,6.782449054298922e-05,0.0015976525650055716,3.428183378724094e-05,0.002065346047375351,4.9804737515463176e-05,0.0005804114625789225,0.001668874523602426,0.0015606877859681845,0.0021755758207291365,0.002002697205170989,1.1953075045312289e-05,3.184965316904709e-05,2.9304945201147348e-05,5.307184255798347e-05,4.522976450971328e-05,0.0005267873057164252,0.002241728827357292,0.0021237432956695557,0.002819304121658206,0.002615158213302493,2.201699317083694e-06,5.165371476323344e-05,4.900888598058373e-05,7.833496783860028e-05,6.782449054298922e-05
11,0.16353709919729995,0.00869210995733738,0.17606055736541748,0.17765825986862183,0.2303881198167801,0.22488754987716675,0.24199617921660344,0.0006276211921800001,13645.648676156998,77.91625785827637,1371.8658925104382,3833.1139633393245,0.0076022339053452015,0.26091697812080383,0.27408450841903687,0.3353760838508606,0.3320019841194153,3.311601872426056e-05,4.981325640947034e-05,1.1892964721482713e-05,3.0639668693766e-05,2.814559957187157e-05,5.120382775203325e-05,4.3698415538528934e-05,2.1181888314458774e-06,5.166424307390116e-05,4.916399120702408e-05,7.81408671173267e-05,6.797903188271448e-05,0.0015495158695104894,3.311601872426056e-05,0.002052660094834088,4.981325640947034e-05,0.0005513617070391774,0.0016206003492698073,0.0015148475067690015,0.002113048918545246,0.0019477105233818293,1.1892964721482713e-05,3.0639668693766e-05,2.814559957187157e-05,5.120382775203325e-05,4.3698415538528934e-05,0.00046155869495123625,0.0022254802752286196,0.0021262424997985363,0.002836513565853238,0.002613495569676161,2.1181888314458774e-06,5.166424307390116e-05,4.916399120702408e-05,7.81408671173267e-05,6.797903188271448e-05
12,0.15917374031411277,0.008366073481738567,0.17139296233654022,0.17296554148197174,0.22413574159145355,0.2190088927745819,0.2396924654463927,0.0005648590729620001,13464.221566677094,45.468032121658325,1390.351451607908,4201.681915348043,0.007664145436137915,0.25925412774086,0.2717108130455017,0.3297724723815918,0.3300611972808838,3.205163911100802e-05,4.93763900648446e-05,1.1847662790387403e-05,2.9560233087977394e-05,2.7120595404994674e-05,4.945047840010375e-05,4.2279567423975095e-05,2.136264811269939e-06,5.1099868869641796e-05,4.83767144032754e-05,7.776362326694652e-05,6.750530883437023e-05,0.0015070769378815183,3.205163911100802e-05,0.0020337914604344406,4.93763900648446e-05,0.0005304354126565158,0.0015776383224874735,0.0014747747918590903,0.0020556943491101265,0.0018968457588925958,1.1847662790387403e-05,2.9560233087977394e-05,2.7120595404994674e-05,4.945047840010375e-05,4.2279567423975095e-05,0.0004634864453691989,0.0022086813114583492,0.002106287982314825,0.0027917567640542984,0.0025987448170781136,2.136264811269939e-06,5.1099868869641796e-05,4.83767144032754e-05,7.776362326694652e-05,6.750530883437023e-05
13,0.0018184397398274287,0.0008965064771473408,0.001870716456323862,0.001763949985615909,0.0023653460666537285,0.0021956840064376593,0.0023065392265096307,0.0018000000000000002,12633.921735048294,16.380714654922485,1481.7251834058825,4175.853682197895,0.0006067383219487965,0.0025614819023758173,0.0023556030355393887,0.0032523730769753456,0.0027564989868551493,3.584399698044965e-05,5.1817782060364455e-05,1.284244626731379e-05,3.357006426085718e-05,3.111626938334666e-05,5.479876563185826e-05,4.689253546530381e-05,2.283188223373145e-06,5.3642139391740784e-05,5.0918039050884545e-05,8.221602183766663e-05,7.002922939136624e-05,0.0018184397398274287,3.584399698044965e-05,0.0023065392265096307,5.1817782060364455e-05,0.0008965064771473408,0.001870716456323862,0.001763949985615909,0.0023653460666537285,0.0021956840064376593,1.284244626731379e-05,3.357006426085718e-05,3.111626938334666e-05,5.479876563185826e-05,4.689253546530381e-05,0.0006067383219487965,0.0025614819023758173,0.0023556030355393887,0.0032523730769753456,0.0027564989868551493,2.283188223373145e-06,5.3642139391740784e-05,5.0918039050884545e-05,8.221602183766663e-05,7.002922939136624e-05
14,0.0017241789347867274,0.000734922883566469,0.0017946946900337934,0.001691430457867682,0.0022820462472736835,0.0021177863236516714,0.0021867999143199996,0.0016200000000000001,12637.405145406723,13.085177421569824,1481.3167564548723,4181.217358955295,0.0005103375297039747,0.0024118851870298386,0.002265186980366707,0.0029770992696285248,0.0027694713789969683,3.437364999697618e-05,5.163871658047962e-05,1.2043877177347895e-05,3.207114423275925e-05,2.9730905225733295e-05,5.2779218094656244e-05,4.5243315980769694e-05,2.2541944417753257e-06,5.37602900294587e-05,5.047969170846045e-05,8.133966912282631e-05,7.035963062662631e-05,0.0017241789347867274,3.437364999697618e-05,0.0021867999143199996,5.163871658047962e-05,0.000734922883566469,0.0017946946900337934,0.001691430457867682,0.0022820462472736835,0.0021177863236516714,1.2043877177347895e-05,3.207114423275925e-05,2.9730905225733295e-05,5.2779218094656244e-05,4.5243315980769694e-05,0.0005103375297039747,0.0024118851870298386,0.002265186980366707,0.0029770992696285248,0.0027694713789969683,2.2541944417753257e-06,5.37602900294587e-05,5.047969170846045e-05,8.133966912282631e-05,7.035963062662631e-05
15,0.0016544638111663517,0.0006523208576254547,0.001731546362861991,0.0016318905400112271,0.0022058289032429457,0.0020507050212472677,0.002214428791256311,0.001458,13061.31075835228,21.357036113739014,1433.240533537507,3808.12422997659,0.0008411089656874537,0.002349142450839281,0.002230411861091852,0.002929456066340208,0.0027220335323363543,3.320399388298433e-05,5.0926274864984106e-05,1.1747316420951393e-05,3.08910857711453e-05,2.8611899324459955e-05,5.0981809181394055e-05,4.3787840695586056e-05,2.7055434657086153e-06,5.287349995342083e-05,5.005324783269316e-05,7.985637785168365e-05,6.914285040693358e-05,0.0016544638111663517,3.320399388298433e-05,0.002214428791256311,5.0926274864984106e-05,0.0006523208576254547,0.001731546362861991,0.0016318905400112271,0.0022058289032429457,0.0020507050212472677,1.1747316420951393e-05,3.08910857711453e-05,2.8611899324459955e-05,5.0981809181394055e-05,4.3787840695586056e-05,0.0008411089656874537,0.002349142450839281,0.002230411861091852,0.002929456066340208,0.0027220335323363543,2.7055434657086153e-06,5.287349995342083e-05,5.005324783269316e-05,7.985637785168365e-05,6.914285040693358e-05
16,0.0015951394116079124,0.0005875119823031127,0.0016771150985732675,0.0015801331028342247,0.0021393687929958105,0.0019915697630494833,0.0021361897612145794,0.0013122000000000001,14066.576155424118,978.7268061637878,1330.8142502595776,3980.130649026474,0.0005174335092306137,0.002319423481822014,0.0022135803010314703,0.002901317086070776,0.002729197032749653,3.215082035697176e-05,5.1472006212134144e-05,1.1537438695086166e-05,2.983009471790865e-05,2.7631445846054703e-05,4.930113209411502e-05,4.245376476319507e-05,2.1125033526914194e-06,5.340750067261979e-05,5.057592716184445e-05,8.080367842921987e-05,7.046015525702387e-05,0.0015951394116079124,3.215082035697176e-05,0.0021361897612145794,5.1472006212134144e-05,0.0005875119823031127,0.0016771150985732675,0.0015801331028342247,0.0021393687929958105,0.0019915697630494833,1.1537438695086166e-05,2.983009471790865e-05,2.7631445846054703e-05,4.930113209411502e-05,4.245376476319507e-05,0.0005174335092306137,0.002319423481822014,0.0022135803010314703,0.002901317086070776,0.002729197032749653,2.1125033526914194e-06,5.340750067261979e-05,5.057592716184445e-05,8.080367842921987e-05,7.046015525702387e-05
