epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4,train_compare_loss,val_compare_loss,train_compare_loss_ch0,train_compare_loss_ch1,train_compare_loss_ch2,train_compare_loss_ch3,train_compare_loss_ch4,val_compare_loss_ch0,val_compare_loss_ch1,val_compare_loss_ch2,val_compare_loss_ch3,val_compare_loss_ch4,train_l1_loss,train_mse_loss,val_l1_loss,val_mse_loss,train_l1_loss_ch0,train_l1_loss_ch1,train_l1_loss_ch2,train_l1_loss_ch3,train_l1_loss_ch4,val_l1_loss_ch0,val_l1_loss_ch1,val_l1_loss_ch2,val_l1_loss_ch3,val_l1_loss_ch4,train_mse_loss_ch0,train_mse_loss_ch1,train_mse_loss_ch2,train_mse_loss_ch3,train_mse_loss_ch4,val_mse_loss_ch0,val_mse_loss_ch1,val_mse_loss_ch2,val_mse_loss_ch3,val_mse_loss_ch4
1,0.4250337446679672,0.01923513056714809,0.43954310804481306,0.49421932425432735,0.5627915269355807,0.6093795948483878,0.31210296470870574,0.0018000000000000002,12277.968724489212,32.766133308410645,1524.6821701591189,4320.689519451753,0.006189602132459792,0.32596844315826895,0.3536239682530363,0.4388731156637271,0.43585966690878075,0.00012336300471047756,8.328398969946041e-05,8.370364253461087e-05,0.00011839209253392054,0.00011791856681732801,0.0001497202823112376,0.00014708044210510706,2.141938975307009e-05,8.798588084876732e-05,8.434092825409607e-05,0.00011719617202422038,0.00010547757775226879,0.005594396312882762,0.00012336300471047756,0.0045757574344985185,8.328398969946041e-05,0.005033153269307352,0.005596106867571103,0.005368281618724318,0.006151920302816304,0.0058225195209961386,8.370364253461087e-05,0.00011839209253392054,0.00011791856681732801,0.0001497202823112376,0.00014708044210510706,0.0033287029209546743,0.004637633627311637,0.004465405055011312,0.005354380647093058,0.005092664924884836,2.141938975307009e-05,8.798588084876732e-05,8.434092825409607e-05,0.00011719617202422038,0.00010547757775226879
2,0.2446477397415373,0.0046960954629863,0.25085004999095367,0.2696685620962332,0.353337853980975,0.3446861145922707,0.23081098179842036,0.0016200000000000001,13060.13580417633,227.94774532318115,1433.3694749187657,4167.911070775444,0.0043953033142063455,0.23668106557851037,0.25299233025883633,0.3322055666839083,0.32778062263478835,6.599069123664473e-05,6.163070907059592e-05,2.05556690478564e-05,6.747910982039684e-05,6.433717459195678e-05,9.394325127312994e-05,8.363825163774486e-05,1.600227745605783e-05,6.384216170148042e-05,6.035166237300776e-05,8.874957607598238e-05,7.920786814005017e-05,0.0037861671451181692,6.599069123664473e-05,0.0034282764705518883,6.163070907059592e-05,0.002689927684864314,0.0038687406517241875,0.003702375814105229,0.004465694694404697,0.004204096892337677,2.05556690478564e-05,6.747910982039684e-05,6.433717459195678e-05,9.394325127312994e-05,8.363825163774486e-05,0.0021834110908055056,0.0036138011920731515,0.003370840883301571,0.004103032712529724,0.0038702964812827607,1.600227745605783e-05,6.384216170148042e-05,6.035166237300776e-05,8.874957607598238e-05,7.920786814005017e-05
3,0.1943031339365989,0.0029929390739432873,0.19401795968206392,0.20600454454227454,0.2894746200835539,0.2790255896606379,0.22354667062138517,0.001458,12622.246052742004,12.971816062927246,1483.0957914921446,4174.312704835652,0.010251552854315378,0.22542837925925852,0.24438920063798628,0.320751010414958,0.3169131920089324,5.172734981892467e-05,6.251900147241638e-05,1.2619890895921218e-05,5.217595330279639e-05,4.9165360784829517e-05,7.695865688320838e-05,6.771688739263481e-05,3.130145780086574e-05,6.079320828806279e-05,5.828089614994193e-05,8.566913759738479e-05,7.65503081537948e-05,0.0031760007839701657,5.172734981892467e-05,0.0033170907075051217,6.251900147241638e-05,0.002100983118897097,0.0032546952126625305,0.003094345094649018,0.0038379234595534704,0.003592057038240859,1.2619890895921218e-05,5.217595330279639e-05,4.9165360784829517e-05,7.695865688320838e-05,6.771688739263481e-05,0.0023001743191930777,0.0033454544505880524,0.0032419063704398773,0.003992540882170821,0.0037053775392783183,3.130145780086574e-05,6.079320828806279e-05,5.828089614994193e-05,8.566913759738479e-05,7.65503081537948e-05
4,0.17107384928295183,0.002603718450782051,0.1684448716003034,0.17679339071363212,0.2595851065574421,0.2479421448364026,0.21496902320161462,0.0013122000000000001,12622.935180902481,12.924817323684692,1483.0148243430658,4170.381409043447,0.004184670770417627,0.2194530593884488,0.23200437426418066,0.31221091363529363,0.3069920790284872,4.5515392295126526e-05,5.705180048468416e-05,1.0898469574644625e-05,4.529558004125849e-05,4.21941086825023e-05,6.901300901548287e-05,6.017579437037865e-05,1.3127876489807022e-05,5.918426715646395e-05,5.5366809666096137e-05,8.34231745301319e-05,7.415687434749997e-05,0.002926664159510336,4.5515392295126526e-05,0.0030270294452784583,5.705180048468416e-05,0.0019029774834376035,0.002995631759378335,0.002835738303485818,0.0035708496347005066,0.0033281236215132394,1.0898469574644625e-05,4.529558004125849e-05,4.21941086825023e-05,6.901300901548287e-05,6.017579437037865e-05,0.0013756160559055086,0.0033094934712008884,0.0030260678002843634,0.0038223639436842254,0.003601605964677098,1.3127876489807022e-05,5.918426715646395e-05,5.5366809666096137e-05,8.34231745301319e-05,7.415687434749997e-05
5,0.15573609682441586,0.002367831766605377,0.15164855122566223,0.1575929820537567,0.23971615731716156,0.22735612094402313,0.2158196464906136,0.00118098,14311.949715852737,306.4296078681946,1307.9978878953616,3839.6403726256312,0.003492519026622176,0.21709062159061432,0.23697726428508759,0.3129468858242035,0.3085908889770508,4.143731498344197e-05,5.69140849914523e-05,9.879703611659352e-06,4.0776045352686197e-05,3.761173866223544e-05,6.373818905558437e-05,5.518073885468766e-05,1.1369557796570007e-05,5.851807145518251e-05,5.655196582665667e-05,8.359113417100161e-05,7.453969010384753e-05,0.0027624031040468255,4.143731498344197e-05,0.0030025962092680857,5.69140849914523e-05,0.0017762468196451664,0.002821924164891243,0.002665871987119317,0.003394666826352477,0.0031532938592135906,9.879703611659352e-06,4.0776045352686197e-05,3.761173866223544e-05,6.373818905558437e-05,5.518073885468766e-05,0.0015558379236608744,0.003130595665425062,0.0030898351687937975,0.003731656586751342,0.003505057655274868,1.1369557796570007e-05,5.851807145518251e-05,5.655196582665667e-05,8.359113417100161e-05,7.453969010384753e-05
6,0.1440482021673686,0.002234039595350623,0.13899534940719604,0.14310026168823242,0.22440704703330994,0.21150341629981995,0.21421556373561423,0.001062882,13841.368778467178,13.564777612686157,1352.4673968027237,3838.5323811392695,0.005186059046536684,0.21584880352020264,0.23069363832473755,0.31198063492774963,0.307369202375412,3.8366874052573826e-05,5.741223938827413e-05,9.305598723585717e-06,3.7373280065367e-05,3.415378159843385e-05,5.9669717302313074e-05,5.133206650498323e-05,1.626156154088676e-05,5.8185210946248844e-05,5.503764987224713e-05,8.334385347552598e-05,7.423313945764676e-05,0.002642728156555677,3.8366874052573826e-05,0.002976632154174149,5.741223938827413e-05,0.0017051477916538715,0.0026919867377728224,0.0025386251509189606,0.0032587226014584303,0.003019150346517563,9.305598723585717e-06,3.7373280065367e-05,3.415378159843385e-05,5.9669717302313074e-05,5.133206650498323e-05,0.001556209521368146,0.003258246462792158,0.0029583254363387823,0.0036723767407238483,0.0034380070865154266,1.626156154088676e-05,5.8185210946248844e-05,5.503764987224713e-05,8.334385347552598e-05,7.423313945764676e-05
7,0.13443093785291746,0.002118420321494341,0.1287892758846283,0.1313811093568802,0.21142970025539398,0.1984361708164215,0.209762171840171,0.0009565938,13849.123288154602,13.540037155151367,1351.7101126546793,3837.0662500021303,0.005467678885906935,0.21017180383205414,0.2269723117351532,0.30506381392478943,0.30113303661346436,3.583339196509567e-05,5.640431912045945e-05,8.801585863693617e-06,3.46265769621823e-05,3.135878432658501e-05,5.622011667583138e-05,4.815986903849989e-05,1.6996244085021317e-05,5.665554999723099e-05,5.414634142653085e-05,8.149835048243403e-05,7.272524817381054e-05,0.002541520641266187,3.583339196509567e-05,0.002924522532126866,5.640431912045945e-05,0.0016296174144372344,0.0025876006111502647,0.0024320746306329966,0.0031481843907386065,0.0029101413674652576,8.801585863693617e-06,3.46265769621823e-05,3.135878432658501e-05,5.622011667583138e-05,4.815986903849989e-05,0.001603669603355229,0.0030369057785719633,0.002933681942522526,0.003595263697206974,0.0034531091805547476,1.6996244085021317e-05,5.665554999723099e-05,5.414634142653085e-05,8.149835048243403e-05,7.272524817381054e-05
8,0.12618657831682098,0.00201503187417984,0.12012632191181183,0.12160484492778778,0.19993208348751068,0.18725435435771942,0.21115640783334771,0.00086093442,14340.57388472557,13.670159101486206,1305.3870891414633,4142.555772189424,0.007737327832728624,0.21198546886444092,0.2282678335905075,0.30594587326049805,0.3018462061882019,3.3658844537613835e-05,5.793264021364545e-05,8.363565029867459e-06,3.2296004064846784e-05,2.9024744435446337e-05,5.316438546287827e-05,4.544535113382153e-05,2.3417975171469152e-05,5.714520739275031e-05,5.446546492748894e-05,8.174085087375715e-05,7.289342465810478e-05,0.0024559905089004638,3.3658844537613835e-05,0.0028503730758636567,5.793264021364545e-05,0.001563937752507627,0.00249978038482368,0.0023452749010175467,0.0030520502477884293,0.002818912034854293,8.363565029867459e-06,3.2296004064846784e-05,2.9024744435446337e-05,5.316438546287827e-05,4.544535113382153e-05,0.0014236180577427149,0.002978274133056402,0.0029118068050593138,0.003567154286429286,0.0033710054121911526,2.3417975171469152e-05,5.714520739275031e-05,5.446546492748894e-05,8.174085087375715e-05,7.289342465810478e-05
9,0.11888327885501915,0.0019517383771017194,0.11268980801105499,0.11331924051046371,0.18931923806667328,0.1771361231803894,0.21329658993035555,0.000774840978,12635.996152877808,16.15631365776062,1481.4819325294413,4158.01477043204,0.0075193000957369804,0.21204225718975067,0.22983825206756592,0.31131595373153687,0.3057667315006256,3.175161125747966e-05,5.832162099971659e-05,8.08186723588733e-06,3.0296214390546083e-05,2.7048505216953345e-05,5.034431524109095e-05,4.298709973227233e-05,2.263651549583301e-05,5.714146391255781e-05,5.484476059791632e-05,8.31431825645268e-05,7.384223135886714e-05,0.002385506163157212,3.175161125747966e-05,0.0028309461737827707,5.832162099971659e-05,0.001522747566923499,0.0024257793556898832,0.0022721581626683474,0.00296797719784081,0.002738882089033723,8.08186723588733e-06,3.0296214390546083e-05,2.7048505216953345e-05,5.034431524109095e-05,4.298709973227233e-05,0.001310392515733838,0.002985950093716383,0.0028956958558410406,0.0035880545619875193,0.0033746627159416676,2.263651549583301e-05,5.714146391255781e-05,5.484476059791632e-05,8.31431825645268e-05,7.384223135886714e-05
10,0.11224703976160122,0.001832581707276404,0.10620179027318954,0.1061447411775589,0.1791020780801773,0.16795285046100616,0.21177658699502547,0.0006973568802,12640.096823215485,12.835255861282349,1481.001313662237,4160.221284719489,0.0074569727294147015,0.20949697494506836,0.22631888091564178,0.31051185727119446,0.30509626865386963,2.9969308765102042e-05,5.8019683814139476e-05,7.572318281745538e-06,2.855153252312448e-05,2.5335055397590622e-05,4.762926255352795e-05,4.0758310206001624e-05,2.3009417418506928e-05,5.64623114769347e-05,5.401292219175957e-05,8.292010898003355e-05,7.369382365141064e-05,0.0023164778466161808,2.9969308765102042e-05,0.0028970578128704803,5.8019683814139476e-05,0.0014503474812954664,0.002361143473535776,0.002208483638241887,0.0028910767287015915,0.0026713276747614145,7.572318281745538e-06,2.855153252312448e-05,2.5335055397590622e-05,4.762926255352795e-05,4.0758310206001624e-05,0.001834742957726121,0.0029460687655955553,0.0028101811185479164,0.0035656618420034647,0.0033286360558122396,2.3009417418506928e-05,5.64623114769347e-05,5.401292219175957e-05,8.292010898003355e-05,7.369382365141064e-05
