26/06/26 14:52:59.72 | === full-val metrics report === 
Full validation set (indices_full, ~3.9M samples per test shard pair).
Val MAE/MSE backfilled from epoch checkpoints.

### Table 1 — organized by MAE (L1)

| Ep | 260401 LR | 260401 train MAE | 260401 val MAE | 260619 LR | 260619 train MAE | 260619 val MAE | 260622 LR | 260622 train MAE | 260622 val MAE |
|---|---|---|---|---|---|---|---|---|---|
| 1 | 1.80e-03 | 3.548e-03 | 7.596e-03 | 1.80e-03 | 3.541e-03 | 2.715e-03 | 3.20e-03 | 5.706e-03 | 3.556e-03 |
| 2 | 1.62e-03 | 2.462e-03 | 7.640e-03 | 1.62e-03 | 2.465e-03 | 2.531e-03 | 2.56e-03 | 3.213e-03 | 3.063e-03 |
| 3 | 1.46e-03 | 2.233e-03 | 7.527e-03 * | 1.46e-03 | 2.226e-03 | 2.337e-03 | 2.05e-03 | 2.786e-03 | 2.769e-03 |
| 4 | 1.31e-03 | 2.086e-03 | 7.587e-03 | 1.31e-03 | 2.076e-03 | 2.293e-03 | 1.64e-03 | 2.561e-03 | 2.754e-03 |
| 5 | 1.18e-03 | 1.980e-03 | 7.531e-03 | 1.18e-03 | 1.967e-03 | 2.234e-03 | 1.31e-03 | 2.409e-03 | 2.579e-03 |
| 6 | 1.06e-03 | 1.888e-03 | 7.663e-03 | 1.06e-03 | 1.877e-03 | 2.212e-03 | 1.05e-03 | 2.287e-03 | 2.552e-03 |
| 7 | 9.57e-04 | 1.810e-03 | 7.607e-03 | 9.57e-04 | 1.802e-03 | 2.200e-03 | 8.39e-04 | 2.196e-03 | 2.507e-03 |
| 8 | 8.61e-04 | 1.747e-03 | 7.627e-03 | 8.61e-04 | 1.736e-03 | 2.134e-03 * | 6.71e-04 | 2.125e-03 | 2.463e-03 |
| 9 | 7.75e-04 | 1.690e-03 | 7.636e-03 | 7.75e-04 | 1.833e-03 | 2.428e-03 | 5.37e-04 | 2.065e-03 | 2.470e-03 |
| 10 | 6.97e-04 | 1.641e-03 | 7.650e-03 | 6.97e-04 | 1.840e-03 | 2.401e-03 | 4.29e-04 | 1.988e-03 | 2.449e-03 * |
