=== 2026-07-04T02:59:58.545269+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --resume-run-dir D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 --extend-epochs 8 --loss mse --reset-optimizer-scheduler

2026-07-03 23:00:13,372 | INFO | Loss logging: active=mse; every epoch records train/val mse, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-03 23:00:14,380 | INFO | Resumed model weights from D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701\training_state_latest.pt at epoch=12; reset optimizer/scheduler to lr=2.000e-03 gamma=0.9 (not restoring saved optimizer state).
2026-07-03 23:00:14,383 | INFO | Run started | run_name=NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 run_id=NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=13..20
2026-07-03 23:00:14,383 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701\main_process_fault.log
E13/20 B100/36000 batch_loss=2.9419e-05
E13/20 B200/36000 batch_loss=2.7791e-05
E13/20 B300/36000 batch_loss=3.0891e-05
E13/20 B400/36000 batch_loss=3.2999e-05
E13/20 B500/36000 batch_loss=2.0204e-05
E13/20 B600/36000 batch_loss=3.5142e-05
E13/20 B700/36000 batch_loss=4.3808e-05
E13/20 B800/36000 batch_loss=2.2239e-05
E13/20 B900/36000 batch_loss=2.0549e-05
E13/20 B1000/36000 batch_loss=3.2184e-05
E13/20 B1100/36000 batch_loss=2.1675e-05
E13/20 B1200/36000 batch_loss=2.6328e-05
E13/20 B1300/36000 batch_loss=2.9837e-05
E13/20 B1400/36000 batch_loss=2.5883e-05
E13/20 B1500/36000 batch_loss=2.9949e-05
E13/20 B1600/36000 batch_loss=2.3387e-05
E13/20 B1700/36000 batch_loss=3.8298e-05
E13/20 B1800/36000 batch_loss=3.5117e-05
E13/20 B1900/36000 batch_loss=2.9132e-05
E13/20 B2000/36000 batch_loss=2.8375e-05
E13/20 B2100/36000 batch_loss=2.9945e-05
E13/20 B2200/36000 batch_loss=2.2705e-05
E13/20 B2300/36000 batch_loss=3.3303e-05
E13/20 B2400/36000 batch_loss=2.6903e-05
E13/20 B2500/36000 batch_loss=2.8375e-05
E13/20 B2600/36000 batch_loss=2.7079e-05
E13/20 B2700/36000 batch_loss=2.0639e-05
E13/20 B2800/36000 batch_loss=2.4131e-05
E13/20 B2900/36000 batch_loss=1.9085e-05
E13/20 B3000/36000 batch_loss=3.3147e-05
E13/20 B3100/36000 batch_loss=2.1435e-05
E13/20 B3200/36000 batch_loss=3.0737e-05
E13/20 B3300/36000 batch_loss=2.9736e-05
E13/20 B3400/36000 batch_loss=2.7748e-05
E13/20 B3500/36000 batch_loss=2.8492e-05
E13/20 B3600/36000 batch_loss=2.2170e-05
E13/20 B3700/36000 batch_loss=5.8574e-05
E13/20 B3800/36000 batch_loss=4.2659e-05
E13/20 B3900/36000 batch_loss=2.2798e-05
E13/20 B4000/36000 batch_loss=2.6021e-05
E13/20 B4100/36000 batch_loss=2.3295e-05
E13/20 B4200/36000 batch_loss=1.9086e-05
E13/20 B4300/36000 batch_loss=3.1639e-05
E13/20 B4400/36000 batch_loss=1.7729e-05
E13/20 B4500/36000 batch_loss=2.2910e-05
E13/20 B4600/36000 batch_loss=3.1292e-05
E13/20 B4700/36000 batch_loss=1.9578e-05
E13/20 B4800/36000 batch_loss=3.0658e-05
E13/20 B4900/36000 batch_loss=2.0919e-05
E13/20 B5000/36000 batch_loss=2.6924e-05
E13/20 B5100/36000 batch_loss=2.0871e-05
E13/20 B5200/36000 batch_loss=2.7947e-05
E13/20 B5300/36000 batch_loss=2.1703e-05
E13/20 B5400/36000 batch_loss=2.0281e-05
E13/20 B5500/36000 batch_loss=2.0500e-05
E13/20 B5600/36000 batch_loss=2.5167e-05
E13/20 B5700/36000 batch_loss=1.8591e-05
E13/20 B5800/36000 batch_loss=2.5023e-05
E13/20 B5900/36000 batch_loss=4.2908e-05
E13/20 B6000/36000 batch_loss=2.5055e-05
E13/20 B6100/36000 batch_loss=2.1369e-05
E13/20 B6200/36000 batch_loss=3.2466e-05
E13/20 B6300/36000 batch_loss=2.0112e-05
E13/20 B6400/36000 batch_loss=1.7839e-05
E13/20 B6500/36000 batch_loss=3.1829e-05
E13/20 B6600/36000 batch_loss=2.4009e-05
E13/20 B6700/36000 batch_loss=2.9542e-05
E13/20 B6800/36000 batch_loss=1.8890e-05
E13/20 B6900/36000 batch_loss=3.6407e-05
E13/20 B7000/36000 batch_loss=3.0621e-05
E13/20 B7100/36000 batch_loss=2.0996e-05
E13/20 B7200/36000 batch_loss=2.4947e-05
E13/20 B7300/36000 batch_loss=2.2901e-05
E13/20 B7400/36000 batch_loss=2.9158e-05
E13/20 B7500/36000 batch_loss=2.9759e-05
E13/20 B7600/36000 batch_loss=2.1441e-05
E13/20 B7700/36000 batch_loss=2.0672e-05
E13/20 B7800/36000 batch_loss=2.0825e-05
E13/20 B7900/36000 batch_loss=1.9006e-05
E13/20 B8000/36000 batch_loss=2.8988e-05
E13/20 B8100/36000 batch_loss=1.9080e-05
E13/20 B8200/36000 batch_loss=3.1844e-05
E13/20 B8300/36000 batch_loss=3.8319e-05
E13/20 B8400/36000 batch_loss=3.1903e-05
E13/20 B8500/36000 batch_loss=2.7894e-05
E13/20 B8600/36000 batch_loss=2.8231e-05
E13/20 B8700/36000 batch_loss=2.3157e-05
E13/20 B8800/36000 batch_loss=2.6548e-05
E13/20 B8900/36000 batch_loss=3.5562e-05
E13/20 B9000/36000 batch_loss=2.3101e-05
E13/20 B9100/36000 batch_loss=2.0861e-05
E13/20 B9200/36000 batch_loss=2.1098e-05
E13/20 B9300/36000 batch_loss=2.5182e-05
E13/20 B9400/36000 batch_loss=2.9933e-05
E13/20 B9500/36000 batch_loss=2.6867e-05
E13/20 B9600/36000 batch_loss=1.8773e-05
E13/20 B9700/36000 batch_loss=1.9052e-04
E13/20 B9800/36000 batch_loss=2.4016e-04
E13/20 B9900/36000 batch_loss=2.0327e-04
E13/20 B10000/36000 batch_loss=2.0381e-04
E13/20 B10100/36000 batch_loss=2.0161e-04
E13/20 B10200/36000 batch_loss=1.9925e-04
E13/20 B10300/36000 batch_loss=2.0067e-04
E13/20 B10400/36000 batch_loss=2.0073e-04
E13/20 B10500/36000 batch_loss=2.0102e-04
E13/20 B10600/36000 batch_loss=2.2877e-04
E13/20 B10700/36000 batch_loss=2.0019e-04
E13/20 B10800/36000 batch_loss=1.9662e-04
E13/20 B10900/36000 batch_loss=2.1112e-04
E13/20 B11000/36000 batch_loss=1.9248e-04
E13/20 B11100/36000 batch_loss=1.9387e-04
E13/20 B11200/36000 batch_loss=1.9850e-04
E13/20 B11300/36000 batch_loss=1.9106e-04
E13/20 B11400/36000 batch_loss=1.8826e-04
E13/20 B11500/36000 batch_loss=1.9727e-04
