=== 2026-07-05T09:20:45.801978+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --epochs 12 --loss nmae

2026-07-05 05:20:59,817 | INFO | NMAE epsilon=1.000000e-05
2026-07-05 05:20:59,818 | INFO | Loss logging: active=nmae; every epoch records train/val nmae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-05 05:21:00,349 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=1..12
2026-07-05 05:21:00,349 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E1/12 B100/36000 batch_loss=8.7479e-01
E1/12 B200/36000 batch_loss=8.3145e-01
E1/12 B300/36000 batch_loss=8.1314e-01
E1/12 B400/36000 batch_loss=7.9841e-01
E1/12 B500/36000 batch_loss=7.5323e-01
E1/12 B600/36000 batch_loss=7.4226e-01
E1/12 B700/36000 batch_loss=7.0597e-01
E1/12 B800/36000 batch_loss=6.7811e-01
E1/12 B900/36000 batch_loss=6.6383e-01
E1/12 B1000/36000 batch_loss=6.3394e-01
E1/12 B1100/36000 batch_loss=6.2311e-01
E1/12 B1200/36000 batch_loss=5.6263e-01
E1/12 B1300/36000 batch_loss=5.5872e-01
E1/12 B1400/36000 batch_loss=5.4282e-01
E1/12 B1500/36000 batch_loss=5.4483e-01
E1/12 B1600/36000 batch_loss=5.7288e-01
E1/12 B1700/36000 batch_loss=5.1572e-01
E1/12 B1800/36000 batch_loss=5.5857e-01
E1/12 B1900/36000 batch_loss=5.7805e-01
E1/12 B2000/36000 batch_loss=4.8210e-01
E1/12 B2100/36000 batch_loss=5.2703e-01
