=== 2026-07-07T08:09:36.191712+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --resume-run-dir D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 --extend-epochs 8 --loss mae --reset-optimizer-scheduler

2026-07-07 04:09:50,067 | INFO | Loss logging: active=mae; every epoch records train/val mae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-07 04:09:50,912 | INFO | Resumed model weights from D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\training_state_latest.pt at epoch=12; reset optimizer/scheduler to lr=2.000e-03 gamma=0.9 (not restoring saved optimizer state).
2026-07-07 04:09:50,915 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=13..20
2026-07-07 04:09:50,915 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E13/20 B100/36000 batch_loss=1.5589e-03
E13/20 B200/36000 batch_loss=1.3794e-03
E13/20 B300/36000 batch_loss=2.0180e-03
E13/20 B400/36000 batch_loss=2.3092e-03
E13/20 B500/36000 batch_loss=1.1871e-03
E13/20 B600/36000 batch_loss=2.0390e-03
E13/20 B700/36000 batch_loss=1.3311e-03
E13/20 B800/36000 batch_loss=1.5314e-03
E13/20 B900/36000 batch_loss=1.2434e-03
E13/20 B1000/36000 batch_loss=1.9852e-03
E13/20 B1100/36000 batch_loss=1.3225e-03
E13/20 B1200/36000 batch_loss=1.9227e-03
E13/20 B1300/36000 batch_loss=2.0440e-03
E13/20 B1400/36000 batch_loss=1.4261e-03
E13/20 B1500/36000 batch_loss=1.9036e-03
E13/20 B1600/36000 batch_loss=1.5145e-03
E13/20 B1700/36000 batch_loss=2.2637e-03
E13/20 B1800/36000 batch_loss=1.9647e-03
E13/20 B1900/36000 batch_loss=1.4131e-03
E13/20 B2000/36000 batch_loss=1.7670e-03
E13/20 B2100/36000 batch_loss=1.8382e-03
E13/20 B2200/36000 batch_loss=1.2758e-03
E13/20 B2300/36000 batch_loss=2.1852e-03
E13/20 B2400/36000 batch_loss=1.8838e-03
E13/20 B2500/36000 batch_loss=2.1501e-03
E13/20 B2600/36000 batch_loss=1.9612e-03
E13/20 B2700/36000 batch_loss=1.4582e-03
E13/20 B2800/36000 batch_loss=1.6935e-03
E13/20 B2900/36000 batch_loss=1.2773e-03
E13/20 B3000/36000 batch_loss=2.1773e-03
E13/20 B3100/36000 batch_loss=1.6508e-03
E13/20 B3200/36000 batch_loss=2.0960e-03
E13/20 B3300/36000 batch_loss=1.9820e-03
E13/20 B3400/36000 batch_loss=1.6121e-03
E13/20 B3500/36000 batch_loss=1.4975e-03
E13/20 B3600/36000 batch_loss=1.4311e-03
E13/20 B3700/36000 batch_loss=1.5268e-03
E13/20 B3800/36000 batch_loss=2.1142e-03
E13/20 B3900/36000 batch_loss=1.6310e-03
E13/20 B4000/36000 batch_loss=1.5245e-03
E13/20 B4100/36000 batch_loss=1.5712e-03
E13/20 B4200/36000 batch_loss=1.2405e-03
E13/20 B4300/36000 batch_loss=1.9215e-03
E13/20 B4400/36000 batch_loss=1.3852e-03
E13/20 B4500/36000 batch_loss=2.4592e-03
E13/20 B4600/36000 batch_loss=2.1070e-03
E13/20 B4700/36000 batch_loss=1.5536e-03
E13/20 B4800/36000 batch_loss=1.8990e-03
E13/20 B4900/36000 batch_loss=1.3286e-03
